bld_key,sido_cd,sigungu_cd,admin_dong_cd,address,lat,lng,house_type_cd,floor_count,unit_count,use_apr_day,install_day,install_year,detector_model,grid_id,region_type_cd,lambda_i,rr_i,score,risk_level_cd,order_key,is_explore,is_estimated,basis,rx_code_cd,score_version,computed_at
119817741,52,52750,5275036000,전북특별자치도 임실군 월성길 53-7 (신덕면 월성리),35.718055,127.180338,detached,1,1,19160101,,,,다마71a46b,RURAL,0.000222,7.200506,64.81,warn,1,False,False,미보급 · 동선 1,RX-IOT,v0-20260805,2026-08-11T03:02:24+09:00
119817797,52,52750,5275036000,전북특별자치도 임실군 신덕면 지장리 242번지 242,35.69266,127.207761,detached,1,1,19160101,,,,다마73b44a,RURAL,0.000217,7.200506,64.23,warn,2,False,True,미보급 · 동선 2,RX-IOT,v0-20260805,2026-08-11T03:02:24+09:00
119817972,52,52750,5275036000,전북특별자치도 임실군 오궁3길 16-2 (신덕면 오궁리),35.688389,127.232917,detached,1,1,19160101,,,,다마75b43b,RURAL,0.000207,7.200506,62.86,warn,3,True,False,미보급 · 동선 3,RX-IOT,v0-20260805,2026-08-11T03:02:24+09:00
119817979,52,52750,5275036000,전북특별자치도 임실군 신덕면 오궁리 170번지 170,35.687903,127.233512,detached,1,1,19160101,,,,다마75b43b,RURAL,0.000209,7.200506,63.12,warn,4,False,True,미보급 · 동선 4,RX-IOT,v0-20260805,2026-08-11T03:02:24+09:00
119817982,52,52750,5275036000,전북특별자치도 임실군 오궁3길 20-7 (신덕면 오궁리),35.688415,127.233784,detached,1,1,19160101,,,,다마75b43b,RURAL,0.00021,7.200506,63.32,warn,5,False,False,미보급 · 동선 5,RX-IOT,v0-20260805,2026-08-11T03:02:24+09:00
119818016,52,52750,5275036000,전북특별자치도 임실군 오궁2길 20 (신덕면 오궁리),35.685948,127.228695,detached,1,1,19160101,,,,다마75a43a,RURAL,0.000201,7.200506,62.13,warn,6,False,False,미보급 · 동선 6,RX-IOT,v0-20260805,2026-08-11T03:02:24+09:00
119818043,52,52750,5275036000,전북특별자치도 임실군 오궁2길 2-13 (신덕면 오궁리),35.685874,127.230311,detached,1,1,19160101,,,,다마75b43a,RURAL,0.000202,7.200506,62.21,warn,7,False,False,미보급 · 동선 7,RX-IOT,v0-20260805,2026-08-11T03:02:24+09:00
119818045,52,52750,5275036000,전북특별자치도 임실군 오궁2길 2-11 (신덕면 오궁리),35.685858,127.230175,detached,1,1,19160101,,,,다마75b43a,RURAL,0.000202,7.200506,62.2,warn,8,False,False,미보급 · 동선 8,RX-IOT,v0-20260805,2026-08-11T03:02:24+09:00
119817773,52,52750,5275036000,전북특별자치도 임실군 수지로 617-8 (신덕면 지장리),35.683789,127.216162,detached,1,1,19160101,,,,다마74a43a,RURAL,0.000234,7.200506,66.24,warn,9,False,False,미보급 · 동선 9,RX-IOT,v0-20260805,2026-08-11T03:02:24+09:00
119817774,52,52750,5275036000,전북특별자치도 임실군 수지로 617-12 (신덕면 지장리),35.684095,127.216119,detached,1,1,19160101,,,,다마74a43a,RURAL,0.000234,7.200506,66.21,warn,10,False,False,미보급 · 동선 10,RX-IOT,v0-20260805,2026-08-11T03:02:24+09:00
