level,code,name,parent_code
sido,11,서울특별시,
sido,26,부산광역시,
sido,52,전북특별자치도,
sigungu,11305,강북구,11
sigungu,11620,관악구,11
sigungu,26230,부산진구,26
sigungu,26710,기장군,26
sigungu,52750,임실군,52
sigungu,52790,고창군,52
dong,1130553400,삼양동,11305
dong,1130553500,미아동,11305
dong,1130554500,송중동,11305
dong,1130555500,송천동,11305
dong,1130557500,삼각산동,11305
dong,1130559500,번1동,11305
dong,1130560300,번2동,11305
dong,1130560800,번3동,11305
dong,1130561500,수유1동,11305
dong,1130562500,수유2동,11305
dong,1130563500,수유3동,11305
dong,1130564500,우이동,11305
dong,1130566000,인수동,11305
dong,1162052500,보라매동,11620
dong,1162054500,청림동,11620
dong,1162056500,성현동,11620
dong,1162057500,행운동,11620
dong,1162058500,낙성대동,11620
dong,1162059500,청룡동,11620
dong,1162060500,은천동,11620
dong,1162061500,중앙동,11620
dong,1162062500,인헌동,11620
dong,1162063000,남현동,11620
dong,1162064500,서원동,11620
dong,1162065500,신원동,11620
dong,1162066500,서림동,11620
dong,1162068500,신사동,11620
dong,1162069500,신림동,11620
dong,1162071500,난향동,11620
dong,1162072500,조원동,11620
dong,1162073500,대학동,11620
dong,1162074500,삼성동,11620
dong,1162076500,미성동,11620
dong,1162077500,난곡동,11620
dong,2623051000,부전제1동,26230
dong,2623052000,부전제2동,26230
dong,2623054000,연지동,26230
dong,2623055000,초읍동,26230
dong,2623056000,양정제1동,26230
dong,2623057000,양정제2동,26230
dong,2623060000,전포제1동,26230
dong,2623061000,전포제2동,26230
dong,2623064000,부암제1동,26230
dong,2623066000,부암제3동,26230
dong,2623067000,당감제1동,26230
dong,2623068000,당감제2동,26230
dong,2623070000,당감제4동,26230
dong,2623071000,가야제1동,26230
dong,2623072000,가야제2동,26230
dong,2623074000,개금제1동,26230
dong,2623075000,개금제2동,26230
dong,2623076000,개금제3동,26230
dong,2623077000,범천제1동,26230
dong,2623078000,범천제2동,26230
dong,2671025000,기장읍,26710
dong,2671025300,장안읍,26710
dong,2671025600,정관읍,26710
dong,2671025900,일광읍,26710
dong,2671033000,철마면,26710
dong,5275025000,임실읍,52750
dong,5275031000,청웅면,52750
dong,5275032000,운암면,52750
dong,5275033000,신평면,52750
dong,5275034000,성수면,52750
dong,5275035500,오수면,52750
dong,5275036000,신덕면,52750
dong,5275037000,삼계면,52750
dong,5275038000,관촌면,52750
dong,5275039000,강진면,52750
dong,5275040000,덕치면,52750
dong,5275041000,지사면,52750
dong,5279025000,고창읍,52790
dong,5279031000,고수면,52790
dong,5279032000,아산면,52790
dong,5279033000,무장면,52790
dong,5279034000,공음면,52790
dong,5279035000,상하면,52790
dong,5279036000,해리면,52790
dong,5279037000,성송면,52790
dong,5279038000,대산면,52790
dong,5279039000,심원면,52790
dong,5279040000,흥덕면,52790
dong,5279041000,성내면,52790
dong,5279042000,신림면,52790
dong,5279043000,부안면,52790
